feature_set,k,mood_consistency_at_k,avg_similarity_at_k,intra_list_similarity_ILS,catalog_coverage,coverage_sample_n,n_songs_used,features
mood_only,10,0.9497,1.0,1.0,0.9954,50000,106555,"valence, energy"
extended_audio,10,0.9423,0.994,0.9886,0.9927,50000,106555,"valence, energy, danceability, tempo, loudness"
